"activity" "subject" "measurement" "mean"
"LAYING" 20 "time.BodyAcc.mean.X" 0.268210689679487
"LAYING" 24 "time.BodyAcc.mean.X" 0.276767046391076
"LAYING" 27 "time.BodyAcc.mean.X" 0.277798919328859
"LAYING" 28 "time.BodyAcc.mean.X" 0.277532554764398
"LAYING" 29 "time.BodyAcc.mean.X" 0.279111521944767
"LAYING" 30 "time.BodyAcc.mean.X" 0.276305836721932
"SITTING" 12 "time.BodyAcc.mean.X" 0.275639357761194
"SITTING" 13 "time.BodyAcc.mean.X" 0.275895876198777
"SITTING" 17 "time.BodyAcc.mean.X" 0.27344147274375
"SITTING" 18 "time.BodyAcc.mean.X" 0.27795824
"SITTING" 19 "time.BodyAcc.mean.X" 0.269723487105556
"SITTING" 21 "time.BodyAcc.mean.X" 0.277466525522059
"SITTING" 22 "time.BodyAcc.mean.X" 0.279241531908081
"STANDING" 18 "time.BodyAcc.mean.X" 0.276177377784431
"STANDING" 20 "time.BodyAcc.mean.X" 0.268595205636364
"STANDING" 22 "time.BodyAcc.mean.X" 0.267565895829268
"STANDING" 23 "time.BodyAcc.mean.X" 0.273493254730108
"STANDING" 25 "time.BodyAcc.mean.X" 0.275301467772127
"STANDING" 26 "time.BodyAcc.mean.X" 0.2730365808625
"STANDING" 27 "time.BodyAcc.mean.X" 0.275223067435897
"WALKING" 1 "time.BodyAcc.mean.X" 0.265696920582133
"WALKING" 2 "time.BodyAcc.mean.X" 0.273113115788079
"WALKING" 3 "time.BodyAcc.mean.X" 0.273428719636364
"WALKING" 4 "time.BodyAcc.mean.X" 0.277034464752577
"WALKING" 5 "time.BodyAcc.mean.X" 0.279177960301325
"WALKING" 6 "time.BodyAcc.mean.X" 0.269434151902542
"WALKING_DOWNSTAIRS" 10 "time.BodyAcc.mean.X" 0.276238831213675
"WALKING_DOWNSTAIRS" 12 "time.BodyAcc.mean.X" 0.272145794677419
"WALKING_DOWNSTAIRS" 14 "time.BodyAcc.mean.X" 0.268742494553279
"WALKING_DOWNSTAIRS" 15 "time.BodyAcc.mean.X" 0.27821340725
"WALKING_DOWNSTAIRS" 16 "time.BodyAcc.mean.X" 0.277887440374317
"WALKING_DOWNSTAIRS" 17 "time.BodyAcc.mean.X" 0.277950050208333
"WALKING_UPSTAIRS" 4 "time.BodyAcc.mean.X" 0.269685855146341
"WALKING_UPSTAIRS" 6 "time.BodyAcc.mean.X" 0.280179098426966
"WALKING_UPSTAIRS" 7 "time.BodyAcc.mean.X" 0.270211697814935
"WALKING_UPSTAIRS" 8 "time.BodyAcc.mean.X" 0.270759063295374
"WALKING_UPSTAIRS" 9 "time.BodyAcc.mean.X" 0.270313841621528
"WALKING_UPSTAIRS" 10 "time.BodyAcc.mean.X" 0.2792260805
"WALKING_UPSTAIRS" 11 "time.BodyAcc.mean.X" 0.27658531139557
"WALKING_UPSTAIRS" 14 "time.BodyAcc.mean.X" 0.274638681518987
"LAYING" 20 "time.BodyAcc.mean.Y" -0.0154394352991026
"LAYING" 24 "time.BodyAcc.mean.Y" -0.0176822460103885
"LAYING" 27 "time.BodyAcc.mean.Y" -0.0169386590334393
"LAYING" 28 "time.BodyAcc.mean.Y" -0.0191721442063089
"LAYING" 29 "time.BodyAcc.mean.Y" -0.018471953048314
"LAYING" 30 "time.BodyAcc.mean.Y" -0.0175856077340209
"SITTING" 12 "time.BodyAcc.mean.Y" -0.0184861388459702
"SITTING" 13 "time.BodyAcc.mean.Y" -0.0176504796070948
"SITTING" 17 "time.BodyAcc.mean.Y" -0.0180888559772812
"SITTING" 18 "time.BodyAcc.mean.Y" -0.01729741093
"SITTING" 19 "time.BodyAcc.mean.Y" -0.0182031515710306
"SITTING" 21 "time.BodyAcc.mean.Y" -0.0176664578561765
"SITTING" 22 "time.BodyAcc.mean.Y" -0.0168623073762273
"STANDING" 18 "time.BodyAcc.mean.Y" -0.0172818741561907
"STANDING" 20 "time.BodyAcc.mean.Y" -0.0192867074389394
"STANDING" 22 "time.BodyAcc.mean.Y" -0.016771104312122
"STANDING" 23 "time.BodyAcc.mean.Y" -0.019589258786828
"STANDING" 25 "time.BodyAcc.mean.Y" -0.0193221769314914
"STANDING" 26 "time.BodyAcc.mean.Y" -0.0161687277463495
"STANDING" 27 "time.BodyAcc.mean.Y" -0.0162554117217949
"WALKING" 1 "time.BodyAcc.mean.Y" -0.0182981725176081
"WALKING" 2 "time.BodyAcc.mean.Y" -0.0191323183174834
"WALKING" 3 "time.BodyAcc.mean.Y" -0.017856067384956
"WALKING" 4 "time.BodyAcc.mean.Y" -0.0133496817746907
"WALKING" 5 "time.BodyAcc.mean.Y" -0.0154833455336192
"WALKING" 6 "time.BodyAcc.mean.Y" -0.0163911123936864
"WALKING_DOWNSTAIRS" 10 "time.BodyAcc.mean.Y" -0.0188857189162821
"WALKING_DOWNSTAIRS" 12 "time.BodyAcc.mean.Y" -0.0182299075608413
"WALKING_DOWNSTAIRS" 14 "time.BodyAcc.mean.Y" -0.0166371300659426
"WALKING_DOWNSTAIRS" 15 "time.BodyAcc.mean.Y" -0.016464484771311
"WALKING_DOWNSTAIRS" 16 "time.BodyAcc.mean.Y" -0.0158567888309016
"WALKING_DOWNSTAIRS" 17 "time.BodyAcc.mean.Y" -0.0138932613754167
"WALKING_UPSTAIRS" 4 "time.BodyAcc.mean.Y" -0.0171085099442602
"WALKING_UPSTAIRS" 6 "time.BodyAcc.mean.Y" -0.0206949591117978
"WALKING_UPSTAIRS" 7 "time.BodyAcc.mean.Y" -0.0187904887668182
"WALKING_UPSTAIRS" 8 "time.BodyAcc.mean.Y" -0.0181894974688612
"WALKING_UPSTAIRS" 9 "time.BodyAcc.mean.Y" -0.0209466555412396
"WALKING_UPSTAIRS" 10 "time.BodyAcc.mean.Y" -0.0137410699333333
"WALKING_UPSTAIRS" 11 "time.BodyAcc.mean.Y" -0.0191272531933228
"WALKING_UPSTAIRS" 14 "time.BodyAcc.mean.Y" -0.0150740054405063
"LAYING" 20 "time.BodyAcc.mean.Z" -0.103432062417949
"LAYING" 24 "time.BodyAcc.mean.Z" -0.107914503687664
"LAYING" 27 "time.BodyAcc.mean.Z" -0.112273368370134
"LAYING" 28 "time.BodyAcc.mean.Z" -0.109710873104188
"LAYING" 29 "time.BodyAcc.mean.Z" -0.108675612269477
"LAYING" 30 "time.BodyAcc.mean.Z" -0.10589355727859
"SITTING" 12 "time.BodyAcc.mean.Z" -0.107917262447761
"SITTING" 13 "time.BodyAcc.mean.Z" -0.109135285550765
"SITTING" 17 "time.BodyAcc.mean.Z" -0.109111919458969
"SITTING" 18 "time.BodyAcc.mean.Z" -0.110021546
"SITTING" 19 "time.BodyAcc.mean.Z" -0.118277180099383
"SITTING" 21 "time.BodyAcc.mean.Z" -0.10877848058848
"SITTING" 22 "time.BodyAcc.mean.Z" -0.108558951083333
"STANDING" 18 "time.BodyAcc.mean.Z" -0.107940757511976
"STANDING" 20 "time.BodyAcc.mean.Z" -0.111651090326263
"STANDING" 22 "time.BodyAcc.mean.Z" -0.108849744982114
"STANDING" 23 "time.BodyAcc.mean.Z" -0.109093982385242
"STANDING" 25 "time.BodyAcc.mean.Z" -0.10962903098044
"STANDING" 26 "time.BodyAcc.mean.Z" -0.107637894928571
"STANDING" 27 "time.BodyAcc.mean.Z" -0.105403810015385
"WALKING" 1 "time.BodyAcc.mean.Z" -0.10784573454611
"WALKING" 2 "time.BodyAcc.mean.Z" -0.115649958175497
"WALKING" 3 "time.BodyAcc.mean.Z" -0.106492632429097
"WALKING" 4 "time.BodyAcc.mean.Z" -0.105916135927835
"WALKING" 5 "time.BodyAcc.mean.Z" -0.105661736816887
"WALKING" 6 "time.BodyAcc.mean.Z" -0.117900692084746
"WALKING_DOWNSTAIRS" 10 "time.BodyAcc.mean.Z" -0.112087661002564
"WALKING_DOWNSTAIRS" 12 "time.BodyAcc.mean.Z" -0.105735506451613
"WALKING_DOWNSTAIRS" 14 "time.BodyAcc.mean.Z" -0.0996007059877049
"WALKING_DOWNSTAIRS" 15 "time.BodyAcc.mean.Z" -0.112563587594512
"WALKING_DOWNSTAIRS" 16 "time.BodyAcc.mean.Z" -0.107263924445355
"WALKING_DOWNSTAIRS" 17 "time.BodyAcc.mean.Z" -0.109786077604167
"WALKING_UPSTAIRS" 4 "time.BodyAcc.mean.Z" -0.110053359325203
"WALKING_UPSTAIRS" 6 "time.BodyAcc.mean.Z" -0.110940029325843
"WALKING_UPSTAIRS" 7 "time.BodyAcc.mean.Z" -0.112492375388312
"WALKING_UPSTAIRS" 8 "time.BodyAcc.mean.Z" -0.106809623683986
"WALKING_UPSTAIRS" 9 "time.BodyAcc.mean.Z" -0.101233826213889
"WALKING_UPSTAIRS" 10 "time.BodyAcc.mean.Z" -0.1082356298
"WALKING_UPSTAIRS" 11 "time.BodyAcc.mean.Z" -0.108941761642405
"WALKING_UPSTAIRS" 14 "time.BodyAcc.mean.Z" -0.105264366677722
"LAYING" 20 "time.BodyAcc.std.X" -0.546535422961538
"LAYING" 24 "time.BodyAcc.std.X" -0.675459176298425
"LAYING" 27 "time.BodyAcc.std.X" -0.574783321550336
"LAYING" 28 "time.BodyAcc.std.X" -0.649040391307853
"LAYING" 29 "time.BodyAcc.std.X" -0.574295395364826
"LAYING" 30 "time.BodyAcc.std.X" -0.615890785389034
"SITTING" 12 "time.BodyAcc.std.X" -0.508665196767164
"SITTING" 13 "time.BodyAcc.std.X" -0.624844460199083
"SITTING" 17 "time.BodyAcc.std.X" -0.550867932263844
"SITTING" 18 "time.BodyAcc.std.X" -0.991705206333333
"SITTING" 19 "time.BodyAcc.std.X" -0.574658922919194
"SITTING" 21 "time.BodyAcc.std.X" -0.672323867377451
"SITTING" 22 "time.BodyAcc.std.X" -0.631563159137374
"STANDING" 18 "time.BodyAcc.std.X" -0.667932305209581
"STANDING" 20 "time.BodyAcc.std.X" -0.650788909160606
"STANDING" 22 "time.BodyAcc.std.X" -0.408498997088862
"STANDING" 23 "time.BodyAcc.std.X" -0.622594039757258
"STANDING" 25 "time.BodyAcc.std.X" -0.716264537547677
"STANDING" 26 "time.BodyAcc.std.X" -0.623101031168367
"STANDING" 27 "time.BodyAcc.std.X" -0.990276643846154
"WALKING" 1 "time.BodyAcc.std.X" -0.545795331328326
"WALKING" 2 "time.BodyAcc.std.X" -0.605586497159271
"WALKING" 3 "time.BodyAcc.std.X" -0.623413602046921
"WALKING" 4 "time.BodyAcc.std.X" -0.68386446609433
"WALKING" 5 "time.BodyAcc.std.X" -0.507691011391722
"WALKING" 6 "time.BodyAcc.std.X" -0.647669170333475
"WALKING_DOWNSTAIRS" 10 "time.BodyAcc.std.X" -0.425216183982906
"WALKING_DOWNSTAIRS" 12 "time.BodyAcc.std.X" -0.638208440290323
